rotation_angle	 	 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
triceps	forcenode	11	0	0	1.2267770736424899e-13	6.9446069067582154e-07	6.589262132575003e-07	3.1206221370706761e-16	0	0	0	6.1389063393361574e-16	6.072422796478073e-16	4.6986342603894892e-16	8.3376294741623597e-06	1.4022780152081338e-15	0	8.9012012298230436e-16	1.0572959917673663e-15	7.0756923354195215e-16	1.9285857336039348e-06	1.1763051778925495e-05	5.8127886869176674e-16	6.0960983775015065e-07	2.6553474851856527e-06	2.687551338263463e-06	5.2509827360868063e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
triceps	forcenode	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
triceps	forcenode	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
triceps	forcenode	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
triceps	forcenode	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
triceps	forcenode	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12012905735074514	0.28373337509434249	0.46094709076457274	0.65295004501823084	0.8615112757740111	1.088599726434766	1.3391570153636925	1.6223911615619582	1.9580409408551032	
triceps	forcenode	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10477531650375299	0.26714727268662752	0.45009884427541796	0.65654356324607532	0.89022073589875395	1.1579997553520762	1.4724106587173023	1.7285863141267992	1.9708498728093031	2.2267223108812573	2.4972406929281874	2.7839415693615157	3.0883673916922594	3.4149033226733532	3.7717730394276527	4.1767800073201053	
triceps	forcenode	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0084279802888305479	0.12672035423171188	0.2632832758238739	0.41995120405577913	0.59908485667539046	0.80382683878846373	1.0385482700468245	1.2537692679891048	1.4670166162568099	1.6992843430305489	1.953768858857462	2.234839878809836	2.5507800459168624	2.9176267954051425	3.1165604050146922	3.2629303604892379	3.413109728694224	3.5665361223393628	3.7223444579354243	3.8790340097978464	4.0344712572774784	4.18468702900139	4.3206354006768724	
triceps	forcenode	19	0	0	0	0	0	0	0	0	0	0	0	1.2792481358070555e-08	0.073043869790575131	0.16416389461889647	0.27224839596909844	0.39876449603603964	0.54551651652895428	0.71478717056637375	0.90579455424345168	1.0729436015097793	1.2565414683443046	1.4588039594969897	1.6828584655031233	1.933274944924082	2.2171142047992549	2.3804997239856664	2.4861707117627319	2.5921638631005819	2.6976626500334948	2.8013008698045843	2.9007761777752545	2.9916579132612009	3.1022705489023603	3.2225947071284358	3.3451379297855768	3.4696483641766598	3.5957225653558615	3.7226450059331353	3.8493810769509644	3.9739954708506238	4.0920651091732543	
triceps	forcenode	20	0	0	0	0	0.011764633888888008	0.050259445038643921	0.10384848286893333	0.17336102475694698	0.25973089996701409	0.3640316110686645	0.48750977747831875	0.63160216746532383	0.76673564661631233	0.91510860287253581	1.0788513271124589	1.2596492521497027	1.4598993587125095	1.6830855402083484	1.9223148684940659	2.0313270534146284	2.1396987350624466	2.2470634190295549	2.3528664858445052	2.4561983063555726	2.555457193926963	2.661885400969723	2.7727693005551783	2.8835378711921442	2.993850031701526	3.1030712665237878	3.2100136049975951	3.3120728515279199	3.425187637060978	3.5434630618288323	3.6625712502650956	3.782408293167959	3.9028243347031322	4.0235761369165592	4.1443417910811968	4.2645402004626085	4.3828130173940982	
triceps	forcenode	21	0	0	0	0.01327347215185334	0.056112786100640751	0.11944721256166706	0.20073834444947536	0.29951215260167724	0.41533221047556068	0.54780895747992875	0.69661457799927995	0.86151053099116448	0.97529449428874482	1.0880957625416317	1.2002819436885104	1.3095690649320073	1.41287393647259	1.5058145726046972	1.5869910463487356	1.7199399912574036	1.8514063412999595	1.9791993046177025	2.1002348314794324	2.2099358041279236	2.3010628175385754	2.4327759515806733	2.5869143214116934	2.7387835032262089	2.8857708235698252	3.023656744441177	3.1454454979331832	3.2374461501361127	3.3967918299283046	3.584508406443808	3.7747106657100526	3.9667237628538534	4.1595202470596151	4.3512684613322996	4.5393881628093009	4.7188900019294158	4.8779979552241031	
triceps	forcenode	22	0	0	0	0.013338994416665599	0.04503391762041821	0.071075084320247575	0.10094245830826717	0.13321796817359702	0.16610396855237536	0.19725498498350597	0.22349069992372367	0.24027607265202452	0.29326347828642674	0.34921165748986049	0.40500312351445378	0.45853770927000465	0.50699916615332707	0.54642628040305496	0.57570783628006261	0.65305151154281604	0.72921427774072345	0.80209581004041008	0.86879446177467734	0.92507861049390172	0.96435088902208677	1.0417070847687993	1.1396862312758014	1.2351923525656276	1.3257461153562726	1.4074339047165152	1.473858605392808	1.5125639837659455	1.613797914081661	1.7405941066382808	1.8688061552862916	1.9977499600505932	2.1264522834132005	2.253258544464908	2.3759176492083567	2.4901254885625774	2.5857104796258672	
triceps	forcenode	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
triceps	forcenode	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
